Country,years,Population,Gini Index,Unemployment Rate,Public Debt Percentage in GDP,Population Growth Rate
Botswana,25.7,2384246,53.3,24.72,19.66,1.4
Kiribati,25.7,114189,27.8,30.6,26.3,1.04
Samoa,25.6,206179,38.7,9.84,49.1,0.63
Bolivia,25.3,12054379,43.6,8.51,49.0,1.12
Nepal,25.3,30666598,32.8,5.05,39.05,0.78
Tajikistan,25.3,9119347,34.0,7.75,50.4,1.4
Djibouti,24.9,957273,41.6,28.39,31.8,1.97
Lesotho,24.7,2193970,44.9,24.6,33.7,0.76
Honduras,24.4,9459440,48.2,8.51,39.5,1.19
Egypt,24.1,107770524,31.5,9.33,103.0,1.68
Haiti,24.1,11334637,41.1,15.73,31.1,1.2
Philippines,24.1,114597229,42.3,2.41,39.9,1.6
Tonga,24.1,105517,37.6,3.97,49.41,-0.26
Laos,24.0,7749595,38.8,1.26,63.6,1.34
Papua New Guinea,24.0,9593498,41.9,2.75,48.68,2.35
Marshall Islands,23.8,79906,35.5,36.0,41.71,1.34
Eswatini,23.7,1121761,54.6,25.76,28.4,0.75
Jordan,23.5,10998531,33.7,19.25,75.14,0.81
Solomon Islands,23.5,702694,37.1,1.03,11.46,1.72
Guatemala,23.2,17703190,48.3,3.57,31.56,1.58
Vanuatu,23.0,308043,37.6,2.18,48.4,1.63
Pakistan,22.0,242923845,29.6,4.35,67.0,1.95
West Bank,21.9,3000021,33.7,24.9,24.4,1.69
"Gambia, The",21.8,2413403,35.9,11.21,88.0,2.29
Namibia,21.8,2727409,59.1,21.68,4.64,1.82
Ghana,21.4,33107275,43.5,4.7,71.8,2.23
Iraq,21.2,40462701,29.5,14.19,27.44,2.0
Gabon,21.0,2340613,38.0,22.26,62.7,2.4
Mauritania,21.0,4161925,32.6,11.46,96.6,1.99
Comoros,20.9,876437,45.3,9.45,32.4,1.37
Zimbabwe,20.5,15121004,44.3,5.17,82.3,1.95
Cote d'Ivoire,20.3,28713423,37.2,3.47,47.0,2.19
Madagascar,20.3,28172462,42.6,2.59,36.0,2.27
Central African Republic,20.0,5454533,56.2,6.57,52.9,1.78
Kenya,20.0,55864655,40.8,5.74,54.2,2.12
Togo,20.0,8492333,43.1,4.0,75.7,2.48
Ethiopia,19.8,113656596,35.0,3.69,31.45,2.46
Yemen,19.8,30984689,36.7,13.57,74.5,1.88
Rwanda,19.7,13173730,43.7,1.61,40.5,1.74
Timor-Leste,19.6,1445006,28.7,5.07,3.8,2.15
Afghanistan,19.5,38346720,29.4,13.28,7.0,2.3
"Congo, Republic of the",19.5,5546307,48.9,23.01,130.8,2.34
Senegal,19.4,17923036,38.1,3.72,48.3,2.57
Sao Tome and Principe,19.3,217164,40.7,15.91,88.4,1.48
Guinea,19.1,13237832,29.6,6.34,37.9,2.76
Sierra Leone,19.1,8692606,35.7,5.33,63.9,2.49
Nigeria,18.6,225082083,35.1,9.79,21.8,2.53
South Sudan,18.6,11544905,46.0,13.91,62.7,4.91
Cameroon,18.5,29321637,46.6,3.87,36.9,2.75
Sudan,18.3,47958856,34.2,19.81,121.6,2.55
Tanzania,18.2,63852892,40.5,2.65,37.0,2.78
Guinea-Bissau,18.0,2026778,34.8,6.76,53.9,2.53
Liberia,18.0,5358483,35.3,4.09,34.4,2.73
Burkina Faso,17.9,21935389,47.3,4.76,72.53,2.53
Burundi,17.7,12696478,38.6,1.79,51.7,3.63
Benin,17.0,13754688,37.8,1.57,54.6,3.34
Mozambique,17.0,31693239,54.0,3.98,102.88,2.56
Zambia,16.9,19642123,57.1,13.03,103.7,2.9
Malawi,16.8,20794353,38.5,7.02,44.89,2.34
"Congo, Democratic Republic of the",16.7,108407721,42.1,5.43,18.1,3.14
Chad,16.1,17963211,37.5,1.88,52.5,3.09
Mali,16.0,20741769,36.1,7.72,35.4,2.95
Angola,15.9,34795287,51.3,8.53,65.0,3.36
Uganda,15.7,46205893,42.8,2.94,44.19,3.27
Niger,14.8,24484587,37.3,0.75,45.3,3.66
