"pop","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
11088.796,728,10771000000,6534451826,"South Sudan",971.3408020131311,"Africa",141
4862.989,478,9705000000,4667119320,"Mauritania",1995.6861921752243,"Africa",142
9053.799,768,9539000000,4449262345,"Togo",1053.5908738420192,"Africa",143
6735.347,417,9511000000,6551291140,"Kyrgyzstan",1412.1024499554367,"Asia",144
18143.378,706,9185000000,1318057519,"Somalia",506.2453088945179,"Africa",145
10143.543,762,7699000000,6951679338,"Tajikistan",759.0050143229048,"Asia",146
626.485,499,6679000000,4373958354,"Montenegro",10661.069299344756,"Europe",147
521.021,462,6109000000,4224207488,"Maldives",11725.055228100213,"Asia",148
281.995,52,5926000000,4552793288,"Barbados",21014.55699569141,"North America",149
936.375,242,5734000000,4671118364,"Fiji",6123.615004672273,"Oceania",150
1210.822,748,4945000000,4007002048,"Eswatini",4084.002438013185,"Africa",151
8791.092,694,4266000000,3674756785,"Sierra Leone",485.26394673153226,"Africa",152
1136.455,262,4199000000,1891520369,"Djibouti",3694.822936235927,"Africa",153
5418.377,430,4064000000,2756817825,"Liberia",750.0400950321471,"Africa",154
13238.559,108,3686000000,2873699606,"Burundi",278.42909488865064,"Africa",155
80.088,20,3580000000,2858406626,"Andorra",44700.8290880032,"Europe",156
106.277,533,3395000000,2667039106,"Aruba",31944.82343310406,"North America",157
623.236,740,3119000000,3278445033,"Suriname",5004.52477071286,"South America",158
787.424,64,2881000000,2212642587,"Bhutan",3658.765798350063,"Asia",159
5742.315,140,2877000000,1810388740,"Central African Republic",501.0174467962834,"Africa",160
3748.901,232,2777000000,5413804303,"Eritrea",740.750422590514,"Africa",161
2330.318,426,2716000000,2241017076,"Lesotho",1165.5061669694865,"Africa",162
2773.168,270,2341000000,985831536,"Gambia",844.1609018999209,"Africa",163
180.251,662,2277000000,1397066906,"Saint Lucia",12632.38484113819,"North America",164
598.682,132,2178000000,1638928099,"Cape Verde",3637.9914545618544,"Africa",165
410.825,84,2134999999.9999998,1741100000,"Belize",5196.859976875798,"North America",166
1360.596,626,2035000000.0000002,2703285752,"Timor-Leste",1495.6680748730705,"Asia",167
107.66,690,1804000000,1433826317,"Seychelles",16756.455508080995,"Africa",168
2150.842,624,1802000000,1122643236,"Guinea-Bissau",837.8114245490835,"Africa",169
740.424,90,1783000000,1133967215,"Solomon Islands",2408.0796948775296,"Oceania",170
33.642,674,1777000000,1590761265,"San Marino",52820.87866357529,"Europe",171
94.298,28,1768000000,1460157909,"Antigua and Barbuda",18749.072090606376,"North America",172
852.075,174,1386000000,1149802573,"Comoros",1626.6173752310535,"Africa",173
126.183,308,1275000000,1016208148,"Grenada",10104.372221297639,"North America",174
47.755,659,1216000000,909854620,"Saint Kitts and Nevis",25463.3022720134,"North America",175
334.506,548,1071000000,837519790,"Vanuatu",3201.736291725709,"Oceania",176
103.698,670,1042999999.9999999,765318745,"Saint Vincent and the Grenadines",10058.05319292561,"North America",177
225.681,882,868000000,822233281,"Samoa",3846.1368037185225,"Oceania",178
73.04,212,695000000,581484032,"Dominica",9515.334063526834,"North America",179
107.773,776,574000000,401460313,"Tonga",5326.009297319366,"Oceania",180
231.856,678,569000000,342781695,"Sao Tome and Principe",2454.1094472431164,"Africa",181
115.224,583,452000000,329895643,"Micronesia",3922.79386238978,"Oceania",182
18.058,585,296000000,310248000,"Palau",16391.626979731976,"Oceania",183
41.996,584,284000000,183000000,"Marshall Islands",6762.548814172778,"Oceania",184
133.515,296,233000000,173655146,"Kiribati",1745.122270905891,"Oceania",185
12.78,520,138000000,103469824,"Nauru",10798.122065727699,"Oceania",186
11.396,798,71000000,36697185,"Tuvalu",6230.25623025623,"Oceania",187
42239.854,4,0,20235063330,"Afghanistan",479.0514505566236,"Asia",188
64.069,60,0,6127341000,"Bermuda",95636.59492110068,"North America",189
31.538,92,0,971237110,"British Virgin Islands",30795.773669858583,"North America",190
69.31,136,0,3844080626,"Cayman Islands",55462.13570913288,"North America",191
17.044,184,0,290194195,"Cook Islands",17026.17900727529,"Oceania",192
11194.449,192,0,89688700000,"Cuba",8011.890536104099,"North America",193
308.872,258,0,5417934152,"French Polynesia",17541.033670905745,"Oceania",194
5371.23,275,0,13397100000,"Palestine",2494.233164470708,"Asia",195
56.643,304,0,2282927882,"Greenland",40303.79538513144,"North America",196
26160.821,408,0,16788601831,"North Korea",641.7459846156969,"Asia",197
1663.594,412,0,6714465857,"Kosovo",4036.1205059647964,"Europe",198
5353.93,422,0,50457653265,"Lebanon",9424.414078069754,"Asia",199
39.584,438,0,6193677543,"Liechtenstein",156469.2184468472,"Europe",200
36.297,492,0,6468000877,"Monaco",178196.56933079872,"Europe",201
4.386,500,0,62051375,"Montserrat",14147.600319197447,"North America",202
192.077,531,0,3121449966,"Curacao",16251.034564263291,"North America",203
44.222,534,0,1072067039,"Sint Maarten",24242.84381077292,"North America",204
292.991,540,0,9445714851,"New Caledonia",32238.92491919547,"Oceania",205
240485.658,586,0,282506007859,"Pakistan",1174.7312093721616,"Asia",206
15.899,660,0,337520470,"Anguilla",21229.037675325493,"North America",207
48109.006,729,0,82887395895,"Sudan",1722.9080953158748,"Africa",208
23227.014,760,0,22163075121,"Syria",954.1939020228773,"Asia",209
12458.223,788,0,41703561397,"Tunisia",3347.4727011227847,"Africa",210
46.062,796,0,917550492,"Turks and Caicos Islands",19919.901263514395,"North America",211
36744.634,804,0,93270354852,"Ukraine",2538.33947160829,"Europe",212
